SPECIES_ID,SPECIES_NAME,WEIGHT_PERCENT
598,N-decane,25.207830517565
610,N-undecane,19.3081255028158
599,N-dodecane,14.2129257173505
603,N-nonane,9.65406275140788
452,Ethylene (or ethene),4.82703137570394
717,Toluene,4.55886296594261
522,"M & p-xylene (or m,p-xylene)",4.29069455618128
302,Benzene,4.29069455618128
25,"1,2,3-trimethylbenzene",2.6816840976133
30,"1,2,4-trimethylbenzene",2.30624832394744
620,O-xylene,2.11853043711451
44,"1,3,5-trimethylbenzene",2.09171359613837
678,Propylene (or Propene || 1-Propene),1.85036202735318
497,Isobutylene (or Isobutene || 2-Methylpropene),0.670421024403325
449,Ethylbenzene,0.670421024403325
601,N-hexane,0.375435773665862
64,1-butene,0.214534727809064
108,1-pentene,0.160901045856798
78,1-hexene,0.160901045856798
737,Trans-2-butene (or (2E)-2-Butene),0.080450522928399
367,"Cis-2-butene (or 2-Butene, (2Z)-)",0.053633681952266
282,Acetylene (or ethyne),0.053633681952266
230,3-methyl-1-butene,0.053633681952266
742,Trans-2-pentene (or (2E)-2-Pentene),0.053633681952266
1999,C-6 Compounds,0.053633681952266
