SPECIES_ID,SPECIES_NAME,WEIGHT_PERCENT
302,Benzene,34.016393442623
452,Ethylene (or ethene),19.2622950819672
497,Isobutylene (or Isobutene || 2-Methylpropene),17.6229508196721
717,Toluene,15.1639344262295
678,Propylene (or Propene || 1-Propene),6.14754098360656
522,"M & p-xylene (or m,p-xylene)",4.09836065573771
64,1-butene,0.819672131147541
108,1-pentene,0.819672131147541
78,1-hexene,0.409836065573771
282,Acetylene (or ethyne),0.409836065573771
601,N-hexane,0.409836065573771
737,Trans-2-butene (or (2E)-2-Butene),0.409836065573771
1999,C-6 Compounds,0.409836065573771
